"","tube.no","pot.no","intercept","intercept.pvalue","slope","slope.pvalue","adj.R2"
"176","Q_221","Q_221","-2.26573803814908","7.61849783008539e-05","0.298758882893951","0.000208423947767851","0.97064700216889"
"177","Q_222","Q_222","-2.48415083788389","4.16833714192668e-08","0.296981021909803","5.81516659696749e-08","0.986090998215604"
"178","Q_224","Q_224","-2.84165121635207","0.000144884386387564","0.254689895899784","0.000664266826192532","0.852476972636602"
"179","Q_219","Q_225","-2.41622237238124","1.45647282668469e-07","0.274427590307717","2.88762180040133e-07","0.978031418224046"
"180","Q_226","Q_226","-2.08250420030038","0.000542331084694914","0.270194098271577","0.00141986764599276","0.999990051336172"
"181","Q_227","Q_227","-2.3460443283746","1.30470039939784e-06","0.298965300515088","1.17145145488413e-06","0.967258040855032"
"182","Q_228","Q_228","-2.69687619910833","NaN","0.360389557886878","NaN","NaN"
"183","Q_229","Q_229","-2.39144756627499","2.97253645141742e-09","0.294565297968968","3.37430270159949e-09","0.993828734828606"
"184","Q_230","Q_230","-2.39708634667455","NaN","0.276822810474459","NaN","NaN"
"185","","Q_231","-1.93417976616306","4.56414227453576e-07","0.239514688039242","4.98543566436936e-07","0.974331303709089"
"186","Q_232","Q_232","-2.64381185382919","4.93826139014064e-07","0.307237898551544","8.33369394995395e-07","0.970284564884811"
"187","Q_278","Q_233","-3.0238124445335","5.0154324079823e-07","0.344926624355534","9.60992266481101e-07","0.969053637635141"
"188","Q_235","Q_235","-2.86338792358831","0.000768969751006403","0.272326224248041","0.00674204175982887","0.83621504419068"
"189","Q_236","Q_236","-2.36484560042242","NaN","0.244582064222333","NaN","NaN"
"190","Q_237","Q_237","-2.49734110052182","5.21589331907818e-09","0.271448360933121","1.41282113087992e-08","0.990711866148228"
"191","Q_238","Q_238","-2.07539109972978","1.21451877924225e-06","0.30346626133861","4.25272187113435e-07","0.97546827379228"
"192","Q_240","Q_240","-2.44603156399359","NaN","0.17623629059673","NaN","NaN"
"193","Q_243","Q_243","-2.50872019310151","3.82864801195804e-05","0.235877676379916","0.000141418458021803","0.911304230924684"
"194","Q_245","Q_245","-2.2513197834719","2.84211703747391e-08","0.271834854403178","3.70226217381818e-08","0.987772420229734"
"195","Q_246","Q_246","-2.33227335197155","1.56397176531056e-07","0.253660608431951","4.17535872275608e-07","0.975596306582514"
"196","Q_247_D8","Q_247","-2.45761408784586","0.0232650464488356","0.200121380197845","0.174943760916816","0.521076696475133"
"197","Q_248","Q_248","-2.77712188781131","1.6635087919748e-09","0.308099612295208","3.91431384661645e-09","0.993561520292297"
"198","Q_249","Q_249","-2.78202428522046","0.167470831690437","0.19558823818966","0.582848028723155","-0.257346065950224"
"199","Q_250","Q_250","-3.11848446181211","0.152907880594773","0.27253859215877","0.484325191700766","0.04922396262916"
"200","Q_251","Q_251","-2.95043447480536","2.36491784745692e-06","0.324828797796729","5.7064530781335e-06","0.948623809394577"
"201","Q_254","Q_254","-3.02451719946473","NaN","0.434250034018903","NaN","NaN"
"202","Q_255","Q_255","-2.26261834930013","0.0198436210907503","0.156190671767068","0.0969210586340244","0.954001031612533"
"203","Q_247","Q_256","-2.30427055429335","0.0422599057602978","0.285508323483743","0.114766470497652","0.935703107489851"
"204","Q_257","Q_257","-2.37428371526706","0.0460924551052419","0.223253554395299","0.16313366730107","0.871521568576733"
"205","Q_231","Q_258","-2.13803653216998","1.41327794887435e-07","0.22839961098723","4.2699770749866e-07","0.975439944867152"
"206","Q_259_D8","Q_259","-3.08973732915948","0.0155266009613972","0.336341994583038","0.0767166560167253","0.778678199915407"
"207","Q_261","Q_261","-2.33615513984185","1.41278649476146e-08","0.275300623397707","2.17991993558944e-08","0.989487847527505"
