transcript_ID,module
BraA01g003730.3C,tan
BraA01g003740.3C,turquoise
BraA01g003760.3C,none
BraA01g003770.3C,none
BraA01g003780.3C,none
BraA01g003790.3C,none
BraA01g003810.3C,none
BraA01g003830.3C,grey
BraA01g003840.3C,turquoise
BraA01g003870.3C,none
BraA01g003890.3C,none
BraA01g003900.3C,none
BraA01g003920.3C,none
BraA01g003930.3C,none
BraA01g003940.3C,grey
BraA01g003950.3C,red
BraA01g003960.3C,none
BraA01g003970.3C,none
BraA01g003980.3C,turquoise
BraA01g003990.3C,none
BraA01g004000.3C,salmon
BraA01g004030.3C,red
BraA01g004040.3C,none
BraA01g004050.3C,brown
BraA01g004060.3C,none
BraA01g004070.3C,none
BraA01g004090.3C,none
BraA01g004140.3C,none
BraA01g004150.3C,blue
BraA01g004160.3C,pink
BraA01g004170.3C,green
BraA01g004180.3C,blue
BraA01g004190.3C,none
BraA01g004200.3C,none
BraA01g004210.3C,green
BraA01g004220.3C,grey
BraA01g004230.3C,none
BraA01g004240.3C,cyan
BraA01g004270.3C,brown
BraA01g004280.3C,none
BraA01g004300.3C,none
BraA01g004310.3C,turquoise
BraA01g004360.3C,red
BraA01g004380.3C,blue
BraA01g004390.3C,none
BraA01g004400.3C,turquoise
BraA01g004410.3C,black
BraA01g004430.3C,none
BraA01g004440.3C,none
BraA01g004450.3C,turquoise
BraA01g004470.3C,none
BraA01g004480.3C,grey
BraA01g004500.3C,grey60
BraA01g004520.3C,none
BraA01g004530.3C,none
BraA01g004540.3C,none
BraA01g004550.3C,none
BraA01g004570.3C,yellow
BraA01g004580.3C,none
BraA01g004590.3C,none
BraA01g004610.3C,none
BraA01g004620.3C,turquoise
BraA01g004630.3C,none
BraA01g004640.3C,grey60
BraA01g004650.3C,grey60
BraA01g004660.3C,none
BraA01g004670.3C,none
BraA01g004680.3C,blue
BraA01g004690.3C,darkred
BraA01g004700.3C,salmon
BraA01g004710.3C,none
BraA01g004720.3C,none
BraA01g004730.3C,none
BraA01g004740.3C,salmon
BraA01g004750.3C,none
BraA01g004760.3C,none
BraA01g004770.3C,none
BraA01g004800.3C,red
BraA01g004850.3C,none
BraA01g004860.3C,yellow
BraA01g004890.3C,grey
BraA01g004910.3C,none
BraA01g004920.3C,none
BraA01g004930.3C,none
BraA01g004940.3C,greenyellow
BraA01g004960.3C,yellow
BraA01g004980.3C,none
BraA01g004990.3C,turquoise
BraA01g005100.3C,brown
BraA01g005110.3C,none
BraA01g005120.3C,none
BraA01g005130.3C,none
BraA01g005140.3C,none
BraA01g005150.3C,turquoise
BraA01g005160.3C,none
BraA01g005180.3C,red
BraA01g005190.3C,none
BraA01g005200.3C,none
BraA01g005210.3C,none
BraA01g005220.3C,none
BraA01g005230.3C,blue
BraA01g005250.3C,none
BraA01g005260.3C,grey
BraA01g005310.3C,none
BraA01g005340.3C,turquoise
BraA01g005350.3C,none
BraA01g005360.3C,none
BraA01g005370.3C,none
BraA01g005380.3C,grey
BraA01g005390.3C,none
BraA01g005420.3C,none
BraA01g005430.3C,none
BraA01g005440.3C,none
BraA01g005470.3C,none
BraA01g005480.3C,midnightblue
BraA01g005490.3C,none
BraA01g005510.3C,brown
BraA01g005520.3C,none
BraA01g005530.3C,none
BraA01g005560.3C,none
BraA01g005570.3C,none
BraA01g005590.3C,none
BraA01g005600.3C,turquoise
BraA01g005610.3C,grey
BraA01g005620.3C,purple
BraA01g005630.3C,magenta
BraA01g005640.3C,none
BraA01g005650.3C,none
BraA01g005660.3C,none
BraA01g005670.3C,none
BraA01g005700.3C,none
BraA01g005710.3C,cyan
BraA01g005720.3C,none
BraA01g005740.3C,brown
BraA01g005750.3C,darkturquoise
BraA01g005770.3C,none
BraA01g005800.3C,red
BraA01g005810.3C,none
BraA01g005820.3C,pink
BraA01g005830.3C,pink
BraA01g005840.3C,none
BraA01g005850.3C,none
BraA01g005860.3C,none
BraA01g005870.3C,none
BraA01g005880.3C,none
BraA01g005920.3C,none
BraA01g005930.3C,none
BraA01g005940.3C,blue
BraA01g005950.3C,none
BraA01g005960.3C,tan
BraA01g005970.3C,none
BraA01g005980.3C,none
BraA01g006000.3C,turquoise
BraA01g006040.3C,none
BraA01g006050.3C,none
BraA01g006100.3C,none
BraA01g006120.3C,none
BraA01g006140.3C,none
BraA01g006150.3C,grey
BraA01g006160.3C,none
BraA01g006170.3C,none
BraA01g006180.3C,blue
BraA01g006190.3C,none
BraA01g006210.3C,none
BraA01g006220.3C,grey
BraA01g006290.3C,none
BraA01g006300.3C,none
BraA01g006320.3C,none
BraA01g006330.3C,red
BraA01g006380.3C,none
BraA01g006390.3C,none
BraA01g006410.3C,grey
BraA01g006430.3C,none
BraA01g006440.3C,none
BraA01g006450.3C,none
BraA01g006460.3C,none
BraA01g006470.3C,pink
BraA01g006530.3C,none
BraA01g006540.3C,none
BraA01g006560.3C,none
BraA01g006580.3C,turquoise
BraA01g006590.3C,none
BraA01g006600.3C,turquoise
BraA01g006620.3C,turquoise
BraA01g006640.3C,none
BraA01g006650.3C,none
BraA01g006660.3C,none
BraA01g006670.3C,none
BraA01g006680.3C,darkgreen
BraA01g006690.3C,purple
BraA01g006730.3C,red
BraA01g006750.3C,grey
BraA01g006760.3C,none
BraA01g006780.3C,turquoise
BraA01g006790.3C,turquoise
BraA01g006800.3C,turquoise
BraA01g006830.3C,none
BraA01g006840.3C,none
BraA01g006850.3C,none
BraA01g006860.3C,none
BraA01g006880.3C,none
BraA01g006900.3C,grey
BraA01g006980.3C,none
BraA01g006990.3C,none
BraA01g007000.3C,none
BraA01g007020.3C,brown
BraA01g007030.3C,grey
BraA01g007040.3C,none
BraA01g007130.3C,grey
BraA01g007140.3C,midnightblue
BraA01g007170.3C,green
BraA01g007220.3C,none
BraA01g007230.3C,none
BraA01g007240.3C,blue
BraA01g007250.3C,darkgreen
BraA01g007270.3C,turquoise
BraA01g007290.3C,tan
BraA01g007300.3C,tan
BraA01g007310.3C,none
BraA01g007340.3C,turquoise
BraA01g007370.3C,none
BraA01g007380.3C,none
BraA01g007390.3C,none
BraA01g007420.3C,turquoise
BraA01g007430.3C,turquoise
BraA01g007440.3C,red
BraA01g007450.3C,grey
BraA01g007460.3C,brown
BraA01g007480.3C,none
BraA01g007490.3C,none
BraA01g007510.3C,none
BraA01g007530.3C,turquoise
BraA01g007550.3C,none
BraA01g007560.3C,none
BraA01g007570.3C,yellow
BraA01g007590.3C,turquoise
BraA01g007610.3C,none
BraA01g007640.3C,brown
BraA01g007650.3C,yellow
BraA01g007680.3C,grey
BraA01g007690.3C,black
BraA01g007710.3C,none
BraA01g007720.3C,none
BraA01g007730.3C,none
BraA01g007750.3C,yellow
BraA01g007770.3C,salmon
BraA01g007790.3C,grey
BraA01g007800.3C,none
BraA01g007830.3C,none
BraA01g007840.3C,none
BraA01g007850.3C,none
BraA01g007870.3C,none
BraA01g007880.3C,turquoise
BraA01g007900.3C,turquoise
BraA01g007910.3C,none
BraA01g007920.3C,grey
BraA01g007930.3C,blue
BraA01g007950.3C,turquoise
BraA01g007960.3C,none
BraA01g007990.3C,none
BraA01g008000.3C,turquoise
BraA01g008020.3C,none
BraA01g008090.3C,yellow
BraA01g008110.3C,none
BraA01g008120.3C,none
BraA01g008130.3C,none
BraA01g008200.3C,none
BraA01g008210.3C,none
BraA01g008220.3C,green
BraA01g008230.3C,none
BraA01g008240.3C,none
BraA01g008260.3C,none
BraA01g008280.3C,none
BraA01g008290.3C,none
BraA01g008310.3C,none
BraA01g008320.3C,turquoise
BraA01g008370.3C,brown
BraA01g008380.3C,none
BraA01g008390.3C,none
BraA01g008400.3C,brown
BraA01g008420.3C,none
BraA01g008440.3C,none
BraA01g008460.3C,none
BraA01g008470.3C,none
BraA01g008490.3C,none
BraA01g008530.3C,none
BraA01g008550.3C,none
BraA01g008560.3C,none
BraA01g008570.3C,lightyellow
BraA01g008580.3C,none
BraA01g008590.3C,brown
BraA01g008610.3C,none
BraA01g008620.3C,none
BraA01g008630.3C,red
BraA01g008640.3C,turquoise
BraA01g008660.3C,grey
BraA01g008670.3C,blue
BraA01g008700.3C,green
BraA01g008740.3C,none
BraA01g008750.3C,none
BraA01g008770.3C,yellow
BraA01g008790.3C,magenta
BraA01g008800.3C,none
BraA01g008850.3C,grey
BraA01g008870.3C,none
BraA01g008880.3C,brown
BraA01g008900.3C,none
BraA01g008910.3C,none
BraA01g008920.3C,none
BraA01g008940.3C,none
BraA01g008980.3C,none
BraA01g008990.3C,darkred
BraA01g009020.3C,none
BraA01g009040.3C,none
BraA01g009050.3C,none
BraA01g009060.3C,greenyellow
BraA01g009100.3C,greenyellow
BraA01g009120.3C,greenyellow
BraA01g009130.3C,greenyellow
BraA01g009140.3C,grey
BraA01g009150.3C,none
BraA01g009160.3C,none
BraA01g009170.3C,none
BraA01g009200.3C,none
BraA01g009210.3C,none
BraA01g009220.3C,none
BraA01g009240.3C,none
BraA01g009250.3C,none
BraA01g009330.3C,turquoise
BraA01g009340.3C,turquoise
BraA01g009350.3C,darkgreen
BraA01g009370.3C,blue
BraA01g009380.3C,cyan
BraA01g009390.3C,none
BraA01g009410.3C,midnightblue
BraA01g009420.3C,pink
BraA01g009460.3C,brown
BraA01g009470.3C,brown
BraA01g009490.3C,green
BraA01g009500.3C,yellow
BraA01g009520.3C,none
BraA01g009530.3C,none
BraA01g009550.3C,grey
BraA01g009560.3C,brown
BraA01g009570.3C,yellow
BraA01g009610.3C,none
BraA01g009620.3C,none
BraA01g009630.3C,none
BraA01g009640.3C,blue
BraA01g009650.3C,purple
BraA01g009660.3C,none
BraA01g009670.3C,grey
BraA01g009750.3C,cyan
BraA01g009760.3C,brown
BraA01g009790.3C,black
BraA01g009850.3C,none
BraA01g009860.3C,none
BraA01g009870.3C,brown
BraA01g009900.3C,brown
BraA01g009940.3C,none
BraA01g009950.3C,blue
BraA01g009960.3C,none
BraA01g010020.3C,blue
BraA01g010040.3C,red
BraA01g010070.3C,salmon
BraA01g010090.3C,none
BraA01g010100.3C,blue
BraA01g010120.3C,none
BraA01g010130.3C,greenyellow
BraA01g010170.3C,none
BraA01g010180.3C,none
BraA01g010210.3C,none
BraA01g010230.3C,pink
BraA01g010240.3C,none
BraA01g010250.3C,none
BraA01g010270.3C,none
BraA01g010280.3C,none
BraA01g010300.3C,none
BraA01g010330.3C,none
BraA01g010350.3C,none
BraA01g010370.3C,blue
BraA01g010380.3C,blue
BraA01g010390.3C,none
BraA01g010410.3C,turquoise
BraA01g010420.3C,none
BraA01g010440.3C,none
BraA01g010470.3C,none
BraA01g010480.3C,grey
BraA01g010490.3C,none
BraA01g010500.3C,purple
BraA01g010510.3C,none
BraA01g010520.3C,none
BraA01g010530.3C,green
BraA01g010540.3C,none
BraA01g010550.3C,none
BraA01g010570.3C,none
BraA01g010580.3C,none
BraA01g010590.3C,none
BraA01g010600.3C,brown
BraA01g010650.3C,none
BraA01g010660.3C,grey60
BraA01g010670.3C,yellow
BraA01g010700.3C,tan
BraA01g010710.3C,brown
BraA01g010750.3C,none
BraA01g010790.3C,pink
BraA01g010800.3C,turquoise
BraA01g010810.3C,none
