target_id	length	eff_length	est_counts	tpm
BraA01g001410.3C	537	288	476	179.363
BraA01g001420.3C	1587	1338	317	25.7111
BraA01g001430.3C	1086	837	439	56.9189
BraA01g001440.3C	1131	882	43	5.29075
BraA01g001450.3C	426	177.001	0	0
BraA01g001460.3C	1212	963	22	2.47921
BraA01g001470.3C	897	648	0	0
BraA01g001480.3C	1719	1470	0	0
BraA01g001490.3C	1506	1257	3061	264.269
BraA01g001500.3C	897	648	130	21.7714
BraA01g001510.3C	1764	1515	16	1.14611
BraA01g001520.3C	1512	1263	2	0.171848
BraA01g001530.3C	1560	1311	101	8.36057
BraA01g001540.3C	1542	1293	6	0.503582
BraA01g001550.3C	519	270	56	22.5082
BraA01g001560.3C	264	38.2937	0	0
BraA01g001570.3C	258	35.7089	0	0
BraA01g001580.3C	969	720	712	107.316
BraA01g001590.3C	987	738	207	30.4391
BraA01g001600.3C	231	26.552	0	0
BraA01g001610.3C	2286	2037	66	3.51617
BraA01g001620.3C	1125	876	29	3.59262
BraA01g001630.3C	1557	1308	589	48.868
BraA01g001640.3C	588	339	38	12.1647
BraA01g001650.3C	210	21.6077	0	0
BraA01g001660.3C	483	234	0	0
BraA01g001670.3C	1296	1047	293	30.3695
BraA01g001680.3C	249	32.2352	24	80.7975
BraA01g001690.3C	1065	816	2	0.265985
BraA01g001700.3C	1065	816	0	0
BraA01g001710.3C	300	59.0212	0	0
BraA01g001720.3C	1311	1062	195	19.9263
BraA01g001730.3C	1485	1236	1536	134.862
BraA01g001740.3C	861	612	289	51.2464
BraA01g001750.3C	1473	1224	321	28.4604
BraA01g001760.3C	1056	807	35	4.70665
BraA01g001770.3C	1239	990	0	0
BraA01g001780.3C	1146	897	0	0
BraA01g001790.3C	1227	978	35	3.88371
BraA01g001800.3C	1650	1401	38.4027	2.97469
BraA01g001810.3C	1557	1308	355	29.4536
BraA01g001820.3C	2541	2292	145	6.86548
BraA01g001830.3C	1161	912	70	8.32953
BraA01g001840.3C	972	723	0	0
BraA01g001850.3C	1464	1215	192	17.1491
BraA01g001860.3C	774	525	2	0.413417
BraA01g001870.3C	1602	1353	0	0
BraA01g001880.3C	2058	1809	32	1.91968
BraA01g001890.3C	978	729	75	11.1648
BraA01g001900.3C	1002	753	0	0
BraA01g001910.3C	759	510	77	16.3847
BraA01g001920.3C	1278	1029	48	5.06225
BraA01g001930.3C	462	213	0	0
BraA01g001940.3C	717	468	2	0.463769
BraA01g001950.3C	528	279	0	0
BraA01g001960.3C	1347	1098	83	8.20339
BraA01g001970.3C	2004	1755	72	4.45218
BraA01g001980.3C	2928	2679	997	40.3868
BraA01g001990.3C	996	747	8	1.16222
BraA01g002000.3C	1092	843	837	107.749
BraA01g002010.3C	558	309	36.4833	12.8131
BraA01g002020.3C	1461	1212	11	0.984935
BraA01g002030.3C	912	663	150	24.5525
BraA01g002040.3C	1386	1137	0	0
BraA01g002050.3C	294	54.9123	0	0
BraA01g002060.3C	1932	1683	84	5.41642
BraA01g002070.3C	273	42.6101	0	0
BraA01g002080.3C	654	405	18	4.8232
BraA01g002090.3C	942	693	76	11.9014
BraA01g002100.3C	627	378	3	0.861285
BraA01g002110.3C	1374	1125	24	2.31513
BraA01g002120.3C	1209	960	0	0
BraA01g002130.3C	783	534	47	9.55155
BraA01g002140.3C	738	489	59	13.0936
BraA01g002150.3C	519	270	49	19.6947
BraA01g002160.3C	2295	2046	4469	237.04
BraA01g002170.3C	873	624	0	0
BraA01g002180.3C	672	423	1	0.256553
BraA01g002190.3C	948	699	1	0.155253
BraA01g002200.3C	873	624	1	0.173913
BraA01g002210.3C	1800	1551	60	4.19814
BraA01g002220.3C	240	29.2001	17	63.1802
BraA01g002230.3C	2148	1899	40	2.28587
BraA01g002240.3C	1122	873	130	16.1602
BraA01g002250.3C	3759	3510	4366	134.988
BraA01g002260.3C	369	120.184	3	2.70889
BraA01g002270.3C	375	126.116	0	0
BraA01g002280.3C	1113	864	133	16.7053
BraA01g002290.3C	1443	1194	10.0813	0.916284
BraA01g002300.3C	2496	2247	12.6603	0.611444
BraA01g002310.3C	1269	1020	51	5.42609
BraA01g002320.3C	891	642	7.33974	1.24069
BraA01g002330.3C	486	237	17	7.78427
BraA01g002340.3C	1908	1659	429	28.0626
BraA01g002350.3C	1386	1137	2	0.190892
BraA01g002360.3C	2571	2322	937	43.792
BraA01g002370.3C	3822	3573	64	1.94386
BraA01g002380.3C	765	516	4	0.841255
BraA01g002390.3C	1446	1197	56.9655	5.16458
BraA01g002400.3C	708	459	4	0.945725
BraA01g002410.3C	360	111.352	6	5.84749
BraA01g002420.3C	1563	1314	333.431	27.5377
BraA01g002430.3C	2034	1785	0	0
BraA01g002440.3C	1614	1365	107	8.50684
BraA01g002450.3C	2970	2721	531	21.1779
BraA01g002460.3C	1116	867	16	2.00271
BraA01g002470.3C	3465	3216	1	0.0337444
BraA01g002480.3C	4440	4191	113	2.92603
BraA01g002490.3C	777	528	744.601	153.041
BraA01g002500.3C	2436	2187	108	5.35911
BraA01g002510.3C	315	70.3986	0	0
BraA01g002520.3C	573	324	144	48.232
BraA01g002530.3C	1395	1146	11	1.04166
BraA01g002540.3C	11577	11328	48	0.459839
BraA01g002550.3C	384	135.056	38	30.5342
BraA01g002560.3C	1716	1467	19	1.40553
BraA01g002570.3C	480	231	41	19.2615
BraA01g002580.3C	855	606	628	112.462
BraA01g002590.3C	915	666	28	4.56248
BraA01g002600.3C	267	39.6723	5	13.6773
BraA01g002610.3C	834	585	53	9.8319
BraA01g002620.3C	594	345	0	0
BraA01g002630.3C	954	705	149	22.9358
BraA01g002640.3C	1260	1011	75	8.05059
BraA01g002650.3C	840	591	11	2.01987
BraA01g002660.3C	1500	1251	96	8.32782
BraA01g002670.3C	1593	1344	80	6.45964
BraA01g002680.3C	636	387	47.7491	13.3897
BraA01g002690.3C	1482	1233	368	32.3893
BraA01g002700.3C	714	465	13	3.03395
BraA01g002710.3C	2697	2448	1068.74	47.3783
BraA01g002720.3C	837	588	0	0
BraA01g002730.3C	1119	870	0	0
BraA01g002740.3C	957	708	0	0
BraA01g002750.3C	8292	8043	35	0.472245
BraA01g002760.3C	567	318	29	9.89665
BraA01g002770.3C	549	300	0	0
BraA01g002780.3C	1077	828	24	3.14556
BraA01g002790.3C	618	369	84	24.7042
BraA01g002800.3C	1302	1053	154	15.8712
BraA01g002810.3C	738	489	0	0
BraA01g002820.3C	759	510	0	0
BraA01g002830.3C	843	594	0	0
BraA01g002840.3C	894	645	0	0
BraA01g002850.3C	807	558	0	0
BraA01g002860.3C	1215	966	12	1.3481
BraA01g002870.3C	915	666	1	0.162946
BraA01g002880.3C	183	17.121	0	0
BraA01g002890.3C	426	177.001	234	143.469
BraA01g002900.3C	777	528	40.5577	8.33599
BraA01g002910.3C	1404	1155	456	42.845
BraA01g002920.3C	585	336	21	6.78262
BraA01g002930.3C	768	519	7	1.46369
BraA01g002940.3C	1350	1101	143.931	14.1868
BraA01g002950.3C	582	333	6	1.95535
BraA01g002960.3C	1635	1386	9	0.704688
BraA01g002970.3C	969	720	233.7	35.2244
BraA01g002980.3C	3237	2988	8	0.290554
BraA01g002990.3C	1323	1074	0	0
BraA01g003000.3C	612	363	42	12.5563
BraA01g003010.3C	909	660	100	16.4427
BraA01g003020.3C	5094	4845	146	3.27022
BraA01g003030.3C	522	273	0	0
BraA01g003040.3C	1104	855	97	12.3118
BraA01g003050.3C	1071	822	870	114.859
BraA01g003060.3C	1044	795	20.6126	2.81373
BraA01g003070.3C	426	177.001	16	9.80984
BraA01g003080.3C	1638	1389	1115.81	87.178
BraA01g003090.3C	2223	1974	702	38.5929
BraA01g003100.3C	2763	2514	41	1.76985
BraA01g003110.3C	1239	990	0	0
BraA01g003120.3C	828	579	0	0
BraA01g003130.3C	2838	2589	137	5.74256
BraA01g003140.3C	1104	855	654	83.0097
BraA01g003150.3C	1110	861	150.864	19.0152
BraA01g003160.3C	2532	2283	300	14.2604
BraA01g003170.3C	1521	1272	147	12.5414
BraA01g003180.3C	2151	1902	0	0
BraA01g003190.3C	369	120.184	0	0
BraA01g003200.3C	186	17.5397	0	0
BraA01g003210.3C	825	576	53	9.98552
BraA01g003220.3C	705	456	2	0.475973
BraA01g003230.3C	1443	1194	25	2.27223
BraA01g003240.3C	3753	3504	114	3.53068
BraA01g003250.3C	1089	840	53	6.84721
BraA01g003260.3C	339	91.3223	0	0
BraA01g003270.3C	846	597	189.987	34.5356
BraA01g003280.3C	1488	1239	5	0.437941
BraA01g003290.3C	1071	822	121	15.9746
BraA01g003300.3C	666	417	25	6.50611
BraA01g003310.3C	462	213	96	48.9113
BraA01g003320.3C	696	447	116	28.1623
BraA01g003330.3C	1758	1509	0	0
BraA01g003340.3C	1179	930	0	0
BraA01g003350.3C	1443	1194	40	3.63557
BraA01g003360.3C	597	348	99	30.8726
BraA01g003370.3C	2538	2289	0	0
BraA01g003380.3C	876	627	53	9.1733
BraA01g003390.3C	429	180.001	25	15.0724
BraA01g003400.3C	675	426	94	23.9461
BraA01g003410.3C	1647	1398	15	1.1644
BraA01g003420.3C	2019	1770	0	0
BraA01g003430.3C	2019	1770	232	14.2243
BraA01g003440.3C	4074	3825	282	8.00083
BraA01g003450.3C	1092	843	12	1.5448
BraA01g003460.3C	516	267	2102	854.356
BraA01g003470.3C	1707	1458	134	9.97389
BraA01g003480.3C	1179	930	0	0
BraA01g003490.3C	3528	3279	12	0.397152
BraA01g003500.3C	315	70.3986	0	0
BraA01g003510.3C	279	45.7981	1	2.36957
BraA01g003520.3C	318	72.8495	0	0
BraA01g003530.3C	315	70.3986	0	0
BraA01g003540.3C	324	77.9072	37	51.5397
BraA01g003550.3C	432	183	0	0
BraA01g003560.3C	513	264	0	0
BraA01g003570.3C	1668	1419	61	4.66514
BraA01g003580.3C	648	399	79	21.4868
BraA01g003590.3C	495	246	349.969	154.387
BraA01g003600.3C	2013	1764	0	0
BraA01g003610.3C	1947	1698	91	5.81596
BraA01g003620.3C	354	105.528	15	15.4255
BraA01g003630.3C	822	573	31.5957	5.984
BraA01g003640.3C	789	540	486.921	97.8548
BraA01g003650.3C	1110	861	151	19.0323
BraA01g003660.3C	1092	843	2	0.257466
BraA01g003670.3C	1230	981	84	9.29239
BraA01g003680.3C	648	399	35	9.51946
BraA01g003690.3C	342	94.1123	23	26.5215
BraA01g003700.3C	465	216	58	29.1401
BraA01g003710.3C	1632	1383	60	4.70811
BraA01g003720.3C	1692	1443	146.74	11.0357
BraA01g003730.3C	633	384	41	11.587
BraA01g003740.3C	1953	1704	50	3.18433
BraA01g003750.3C	423	174.001	0	0
BraA01g003760.3C	1080	831	69	9.01084
BraA01g003770.3C	2889	2640	284.036	11.6758
BraA01g003780.3C	1134	885	94	11.5266
BraA01g003790.3C	2661	2412	805.353	36.2349
BraA01g003800.3C	2019	1770	0	0
BraA01g003810.3C	2805	2556	235.694	10.007
BraA01g003820.3C	1029	780	2	0.278261
BraA01g003830.3C	390	141.033	23	17.698
BraA01g003840.3C	519	270	105	42.203
BraA01g003850.3C	789	540	0	0
BraA01g003860.3C	708	459	8	1.89145
BraA01g003870.3C	2499	2250	208	10.0322
BraA01g003880.3C	1440	1191	20	1.82237
BraA01g003890.3C	1776	1527	138	9.80748
BraA01g003900.3C	792	543	138	27.5801
BraA01g003910.3C	1389	1140	3	0.285584
BraA01g003920.3C	1041	792	193	26.4454
BraA01g003930.3C	3639	3390	35	1.12043
BraA01g003940.3C	417	168.002	12	7.75145
BraA01g003950.3C	2244	1995	36	1.95829
BraA01g003960.3C	633	384	356	100.609
BraA01g003970.3C	825	576	86	16.2029
BraA01g003980.3C	297	56.934	30	57.183
BraA01g003990.3C	2511	2262	195	9.35534
BraA01g004000.3C	1380	1131	46	4.4138
BraA01g004010.3C	249	32.2352	0	0
BraA01g004020.3C	1734	1485	5	0.365394
BraA01g004030.3C	1074	825	10	1.31542
BraA01g004040.3C	723	474	182	41.6687
BraA01g004050.3C	1860	1611	76	5.11959
BraA01g004060.3C	792	543	206	41.1704
BraA01g004070.3C	1791	1542	862	60.6653
BraA01g004080.3C	444	195	1	0.556522
BraA01g004090.3C	1392	1143	330.668	31.3952
BraA01g004100.3C	1008	759	0	0
BraA01g004110.3C	195	18.9051	0	0
BraA01g004120.3C	441	192	0	0
BraA01g004130.3C	1122	873	11	1.3674
BraA01g004140.3C	1971	1722	93	5.86094
